id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_curah_hujan,satuan,tahun
64,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,336.2,MM,2022
65,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,146.9,MM,2022
66,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,150.6,MM,2022
67,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,98.5,MM,2022
68,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,29.9,MM,2022
69,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,182.2,MM,2022
70,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,366.7,MM,2022
71,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,307.2,MM,2022
72,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,277.7,MM,2022
73,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,67.0,MM,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,111.0,MM,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,200.0,MM,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,276.0,MM,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,269.0,MM,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,90.0,MM,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,24.0,MM,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,30.0,MM,2023
81,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,18.0,MM,2023
82,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,62.0,MM,2023
83,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,239.0,MM,2023
84,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,365.0,MM,2023
